"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16, 2018","0.028290","0.030370","0.034000","0.025680","55.04K","-6.85%"
"Jan 17, 2018","0.028850","0.028290","0.029720","0.025610","34.07K","1.98%"
"Jan 18, 2018","0.028070","0.028850","0.029950","0.027990","33.68K","-2.70%"
"Jan 19, 2018","0.031810","0.028070","0.032300","0.028000","31.27K","13.32%"
"Jan 20, 2018","0.030140","0.031810","0.032490","0.029300","29.60K","-5.25%"
"Jan 21, 2018","0.030189","0.030136","0.030870","0.029403","12.71K","0.16%"
"Jan 22, 2018","0.029174","0.030191","0.030330","0.028500","17.56K","-3.36%"
"Jan 23, 2018","0.028458","0.029174","0.029627","0.027645","14.86K","-2.45%"
"Jan 24, 2018","0.028199","0.028459","0.029000","0.028005","16.03K","-0.91%"
"Jan 25, 2018","0.028314","0.028160","0.028360","0.027700","12.51K","0.41%"
"Jan 26, 2018","0.029168","0.028324","0.029390","0.027850","15.75K","3.02%"
"Jan 27, 2018","0.028329","0.029168","0.029357","0.028184","11.09K","-2.88%"
"Jan 28, 2018","0.028239","0.028329","0.028790","0.027700","13.11K","-0.32%"
"Jan 29, 2018","0.028044","0.028239","0.028500","0.027578","13.31K","-0.69%"
"Jan 30, 2018","0.027229","0.028044","0.028266","0.026767","27.15K","-2.91%"
"Jan 31, 2018","0.026923","0.027229","0.027796","0.026746","13.38K","-1.12%"
"Feb 01, 2018","0.026428","0.026923","0.027650","0.026100","19.33K","-1.84%"
"Feb 02, 2018","0.026907","0.026428","0.027700","0.024050","19.88K","1.81%"
"Feb 03, 2018","0.027579","0.026750","0.027873","0.026200","13.67K","2.50%"
"Feb 04, 2018","0.026701","0.027455","0.027799","0.026300","9.63K","-3.18%"
"Feb 05, 2018","0.025909","0.026701","0.026750","0.024790","18.56K","-2.97%"
"Feb 06, 2018","0.027280","0.025909","0.027391","0.024408","19.21K","5.29%"
"Feb 07, 2018","0.027056","0.027297","0.027987","0.026001","15.94K","-0.82%"
"Feb 08, 2018","0.027495","0.027056","0.027495","0.027051","15.81K","1.62%"
"Feb 09, 2018","0.029683","0.029582","0.029683","0.028950","18.65K","7.96%"
"Feb 10, 2018","0.028803","0.029679","0.029987","0.028792","15.67K","-2.96%"
