open,high,low,close,5. volume,market cap
0.54840000,0.55000000,0.53960000,0.54380000,16060.99000000,16060.99000000
0.58000000,0.60240000,0.54300000,0.55100000,338924.43000000,338924.43000000
0.57280000,0.58870000,0.56300000,0.58000000,287976.52000000,287976.52000000
0.58130000,0.58440000,0.56020000,0.57280000,112027.53000000,112027.53000000
0.55000000,0.58130000,0.54470000,0.58130000,201719.86000000,201719.86000000
0.60490000,0.62130000,0.54650000,0.55460000,462491.42000000,462491.42000000
0.61200000,0.64600000,0.59180000,0.60490000,381014.77000000,381014.77000000
0.57520000,0.61920000,0.57010000,0.60960000,435201.24000000,435201.24000000
0.59310000,0.60480000,0.54150000,0.58000000,514614.65000000,514614.65000000
0.57670000,0.59310000,0.55590000,0.58990000,321986.06000000,321986.06000000
0.57940000,0.59000000,0.55870000,0.57300000,302396.47000000,302396.47000000
0.54410000,0.62170000,0.53580000,0.57940000,1003241.76000000,1003241.76000000
0.53310000,0.56650000,0.50070000,0.54130000,401277.78000000,401277.78000000
0.59870000,0.63240000,0.48970000,0.52740000,758436.20000000,758436.20000000
0.62510000,0.72740000,0.56880000,0.60320000,1616586.95000000,1616586.95000000
0.50980000,0.79620000,0.50370000,0.62880000,4270273.25000000,4270273.25000000
0.48570000,0.51850000,0.47750000,0.51010000,557693.76000000,557693.76000000
0.51660000,0.51710000,0.47160000,0.48460000,605940.68000000,605940.68000000
0.47420000,0.52000000,0.46610000,0.51680000,435480.51000000,435480.51000000
0.46530000,0.49580000,0.46510000,0.47420000,258226.23000000,258226.23000000
0.46250000,0.51850000,0.45000000,0.46640000,495974.77000000,495974.77000000
0.46930000,0.48230000,0.43760000,0.46250000,223659.55000000,223659.55000000
0.46640000,0.47720000,0.46050000,0.47310000,271063.46000000,271063.46000000
0.46010000,0.47250000,0.45140000,0.46630000,142264.44000000,142264.44000000
0.48310000,0.48330000,0.45040000,0.45780000,298142.01000000,298142.01000000
0.48590000,0.49890000,0.46900000,0.48340000,214067.92000000,214067.92000000
0.46440000,0.49150000,0.46420000,0.48430000,147004.60000000,147004.60000000
0.47430000,0.47750000,0.45810000,0.46390000,111908.50000000,111908.50000000
0.48960000,0.49990000,0.47430000,0.47430000,240502.31000000,240502.31000000
0.45530000,0.49980000,0.45510000,0.48570000,232834.75000000,232834.75000000
0.45790000,0.47300000,0.43560000,0.45920000,172796.33000000,172796.33000000
0.42930000,0.46210000,0.42920000,0.45830000,127160.08000000,127160.08000000
0.45860000,0.48000000,0.42000000,0.43110000,361609.92000000,361609.92000000
0.43400000,0.47200000,0.43270000,0.45860000,521359.63000000,521359.63000000
0.43080000,0.44990000,0.42120000,0.43610000,382598.65000000,382598.65000000
0.41860000,0.44020000,0.38800000,0.43080000,210567.31000000,210567.31000000
0.43040000,0.43430000,0.40360000,0.42020000,96061.55000000,96061.55000000
0.43230000,0.44510000,0.42250000,0.43050000,112170.31000000,112170.31000000
0.43490000,0.43700000,0.42360000,0.43070000,49615.69000000,49615.69000000
0.43730000,0.45080000,0.42910000,0.43490000,113013.32000000,113013.32000000
0.46130000,0.46630000,0.42620000,0.43410000,125950.75000000,125950.75000000
0.47430000,0.47990000,0.46020000,0.46400000,87077.77000000,87077.77000000
0.49350000,0.52200000,0.46200000,0.47290000,323197.50000000,323197.50000000
0.49910000,0.51500000,0.48180000,0.49360000,289793.54000000,289793.54000000
0.50040000,0.52330000,0.48630000,0.49880000,159871.21000000,159871.21000000
0.52420000,0.52420000,0.49010000,0.49650000,98935.94000000,98935.94000000
0.51120000,0.54990000,0.51120000,0.52280000,338426.79000000,338426.79000000
0.50170000,0.52930000,0.49590000,0.50810000,234054.06000000,234054.06000000
0.49480000,0.51040000,0.48730000,0.50330000,167885.79000000,167885.79000000
0.48590000,0.50500000,0.47240000,0.49200000,277020.17000000,277020.17000000
0.52120000,0.52490000,0.47030000,0.48580000,350138.52000000,350138.52000000
0.52660000,0.53010000,0.51550000,0.52080000,180955.77000000,180955.77000000
0.52310000,0.53630000,0.52120000,0.52640000,125556.98000000,125556.98000000
0.52680000,0.52980000,0.51420000,0.51980000,61328.83000000,61328.83000000
0.53250000,0.53310000,0.51900000,0.52630000,94627.31000000,94627.31000000
0.54920000,0.54920000,0.52330000,0.53290000,171402.70000000,171402.70000000
0.55640000,0.56530000,0.54530000,0.55090000,95752.60000000,95752.60000000
0.56650000,0.56720000,0.54930000,0.55610000,57444.11000000,57444.11000000
0.56790000,0.57570000,0.55510000,0.56650000,106143.78000000,106143.78000000
0.57230000,0.57890000,0.55950000,0.56800000,61366.06000000,61366.06000000
0.56410000,0.61400000,0.56380000,0.57210000,363079.89000000,363079.89000000
0.53630000,0.56930000,0.53000000,0.56120000,154251.69000000,154251.69000000
0.51800000,0.53940000,0.51080000,0.53930000,108712.59000000,108712.59000000
0.51730000,0.52380000,0.51100000,0.52060000,67641.05000000,67641.05000000
0.56220000,0.56800000,0.50510000,0.52050000,160746.71000000,160746.71000000
0.55170000,0.56220000,0.54740000,0.56220000,82320.31000000,82320.31000000
0.53800000,0.55180000,0.52870000,0.55170000,96535.93000000,96535.93000000
0.53880000,0.54580000,0.53600000,0.54080000,41230.59000000,41230.59000000
0.56170000,0.56370000,0.53450000,0.53960000,111355.15000000,111355.15000000
0.56990000,0.59130000,0.54590000,0.56200000,178745.38000000,178745.38000000
0.57720000,0.57720000,0.55850000,0.57140000,46431.97000000,46431.97000000
0.55990000,0.58430000,0.55850000,0.57720000,115780.36000000,115780.36000000
0.57070000,0.57810000,0.55750000,0.55840000,131695.44000000,131695.44000000
